ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
Business Law,CERT,Business Law - CERT,202323252,18,Undergraduate,2024-2025,Major Common Core,,, ,Choose  12 Credit(s).,BLAW,200,Legal Environment of Business,3,,,,
Business Law,CERT,Business Law - CERT,202323252,18,Undergraduate,2024-2025,Major Common Core,,, ,Choose  12 Credit(s).,BLAW,450,Contract Law and Professional Responsibility,3,,,,
Business Law,CERT,Business Law - CERT,202323252,18,Undergraduate,2024-2025,Major Common Core,,, ,Choose  12 Credit(s).,BLAW,452,Employment Law,3,,,,
Business Law,CERT,Business Law - CERT,202323252,18,Undergraduate,2024-2025,Major Common Core,,, ,Choose  12 Credit(s).,CIS,101,Introduction to Information Systems,3,ME 223 ,,,
Business Law,CERT,Business Law - CERT,202323252,18,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose3 - 6 Credit(s).,BLAW,453,International Legal Environment of Business,3,CIVE 340 ,,,
Business Law,CERT,Business Law - CERT,202323252,18,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose3 - 6 Credit(s).,BLAW,455,Legal Aspects of Banking and Finance,3,CIVE 340,,,
Business Law,CERT,Business Law - CERT,202323252,18,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose3 - 6 Credit(s).,BLAW,471,Technology and Intellectual Property Law,3,CIVE 340 ,,,
Business Law,CERT,Business Law - CERT,202323252,18,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose3 - 6 Credit(s).,BLAW,474,Environmental Law,3,CIVE 350 ,,,
Business Law,CERT,Business Law - CERT,202323252,18,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose3 - 6 Credit(s).,BLAW,477,Negotiation and Conflict Resolution,3,CIVE 350 ,,,
Business Law,CERT,Business Law - CERT,202323252,18,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose3 - 6 Credit(s).,BLAW,483,Special Topics,1-3,CIVE 350 ,,,
Business Law,CERT,Business Law - CERT,202323252,18,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose3 - 6 Credit(s).,BLAW,492,Study Tour,1-3,"ME 223, CIVE 235",,,
Business Law,CERT,Business Law - CERT,202323252,18,Undergraduate,2024-2025,Major Restricted Electives,,, ,Choose3 - 6 Credit(s).,BLAW,497,Internship,1-8,CIVE 360 ,,,
Business Law,CERT,Business Law - CERT,202323252,18,Undergraduate,2024-2025,Major Restricted Electives,,,Optional Electives ,,PHIL,224W,Business Ethics,3,CIVE 360 ,,,
Business Law,CERT,Business Law - CERT,202323252,18,Undergraduate,2024-2025,Major Restricted Electives,,,Optional Electives ,,POL,451,Administrative Law,4,CIVE 370W,,,
Business Law,CERT,Business Law - CERT,202323252,18,Undergraduate,2024-2025,Major Restricted Electives,,,Optional Electives ,,POL,453,Constitutional Law,4,CIVE 370W,,,
