ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
French,MS,French - MS,575,34,Graduate,2024-2025,Capstone Course,,,,,FREN,694,Alternate Plan Paper,1,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Capstone Course,,,,,FREN,699,Thesis,3-6,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,502,French Civilization,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,504,French Syntax,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,505,Business French I,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,506,Business French II,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,515,Composition,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,516,Conversation,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,517,Modern France,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,520,French Seminar,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,532,French Literature I,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,542,French Literature II,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,552,French Literature III,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,594,Supervised Study in French-Speaking Countries,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,597,Internship,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,614,Paris Et L'Ile De France,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,660,Research Methods: French,2,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,677,Individual Study,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,680,Topics in French Literature,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,681,Topics in French Culture & Civilization,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,682,Topics in French Language Study,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,693,Supervised Study in a French-Speaking Country,,,,,
French,MS,French - MS,575,34,Graduate,2024-2025,Restricted Electives,,,Major Teaching Field Choose any 500/600 level French courses selected in consultation with an advisor.,Choose16 - 22 Credit(s).,FREN,697,Internship: Community College Option,,,,,
