ProgramName,Degree,PrgoramName with Degree,ProgID,TotalCredits,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Title,Credits,PreReq,CoReq,DiverseCultures,Unnamed: 19
German,BA,German - BA,215,120,Undergraduate,2024-2025,Prerequisites to the Major,,,Language Or provide other proof of profiency.,Choose  8 Credit(s).,GER,101,Elementary German I,4,,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Prerequisites to the Major,,,Language Or provide other proof of profiency.,Choose  8 Credit(s).,GER,102,Elementary German II,4,GER 101 or equivalent ,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Common Core,,,Core coursework ,Choose12 - 24 Credit(s).,GER,340,(German) Topics in Language,1-4,Two years of university level German or equivalent. ,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Common Core,,,Core coursework ,Choose12 - 24 Credit(s).,GER,341,(German) Composition and Conversation,4,completion of GER 202 or equivalent. ,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Common Core,,,Core coursework ,Choose12 - 24 Credit(s).,GER,342,Selected Readings,1-4,Completion of GER 202 or equivalent ,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Common Core,,,Core coursework ,Choose12 - 24 Credit(s).,GER,343,German Civilization,1-4,Completion of GER 202 or equivalent ,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Common Core,,,Core coursework ,Choose12 - 24 Credit(s).,GER,441,Conversation and Composition,4,Completion of at least one 300 level course in German. ,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Common Core,,,Core coursework ,Choose12 - 24 Credit(s).,GER,442,German Literature,1-4,Completion of readings GER 302 or equivalent,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose4 - 12 Credit(s).,GER,150W,The German-Speaking Countries: An Interdisciplinary Introduction,4,,,Purple,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose4 - 12 Credit(s).,GER,201,Intermediate German I,4,GER 102 or equivalent ,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose4 - 12 Credit(s).,GER,202,Intermediate German II,4,GER 201 or equivalent ,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose4 - 12 Credit(s).,GER,280W,Parallel Worlds: Exploring Cultures & Symbols,4,,,Purple,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose4 - 12 Credit(s).,GER,293,Supervised Study Abroad: Intermediate,1-4,,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose4 - 12 Credit(s).,GER,299,Individual Study,1-4,as appropriate for level of project ,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose4 - 12 Credit(s).,GER,340,(German) Topics in Language,1-4,Two years of university level German or equivalent. ,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose4 - 12 Credit(s).,GER,393,Supervised Study Abroad,1-6,Intermediate Sequence ,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose4 - 12 Credit(s).,GER,443,Topics in German Studies,1-4,,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose4 - 12 Credit(s).,GER,445,Topics in German Linguistics,1-4,Completion of a least one 300 level German course. ,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose4 - 12 Credit(s).,GER,460,Topics in German Cinema,4,,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose4 - 12 Credit(s).,GER,490,Senior Capstone Project,1-4,"GER 340, GER 341, GER 342, GER 343, GER 441. Student has to be admitted as a German major or minor and of senior standing.",,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose4 - 12 Credit(s).,GER,493,Supervised Study Abroad: Advanced,1-6,Experience appropriate for level of credit ,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose4 - 12 Credit(s).,GER,497,Internship,1-6,Experience appropriate to project ,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose4 - 12 Credit(s).,GER,499,Individual Study,1-4,As appropriate for level of project ,,,
German,BA,German - BA,215,120,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose4 - 12 Credit(s).,WLC,280W,Parallel Worlds: Exploring Cultures & Symbols,4,,,Purple,
